local_name,state_name,average_score,lat,lon
 Breckenridge, CO,4.3,39.4994,-106.0433
 Bremerton, WA,3.791959799,47.5436,-122.7122
 Brenham, TX,3.651376147,30.1585,-96.3962
 Brentwood, CA,4.1,38.6195,-90.3475
 Brentwood, NY,3.727578947,38.6195,-90.3475
 Brevard, NC,3.861904762,35.2438,-82.7264
 Brewton, AL,3.916666667,31.1111,-87.0737
 Bridgeport, CT,3.953947368,41.1909,-73.1958
 Bridgeview, IL,3.45,41.7402,-87.8067
 Bridgewater, MA,3.670031546,38.3863,-78.9675
 Bridgewater, NJ,3.86,38.3863,-78.9675
 Bridgewater, NS,2.85,38.3863,-78.9675
 Bridgewater, VA,3.701408451,38.3863,-78.9675
 Brighton, CO,5,42.5298,-83.7848
 Brighton, MA,3.616666667,42.5298,-83.7848
 Bristol, BRISTOL,3.90952381,41.6812,-72.9407
 Bristol, PA,4.75,41.6812,-72.9407
 Bristol, RI,3.5625,41.6812,-72.9407
 Bristol, TN,3.958695652,41.6812,-72.9407
 Brockport, NY,3.661582734,43.2136,-77.9404
 Brockton, MA,3.868070175,42.0821,-71.0242
 Brockville, ON,3.9,44.5893,-75.6953
 Broken Arrow, OK,3.589423077,36.0365,-95.7808
 Bronx, NY,3.793833049,40.8501,-73.8662
 Bronxville, NY,3.993877551,40.9394,-73.8263
 Brookfield, WI,4.1875,41.8245,-87.847
 Brookings, SD,3.667987805,44.3022,-96.7859
 Brooklyn, NY,3.756929094,41.4349,-81.7498
 Brooklyn Center, MN,3.736842105,45.0681,-93.3162
 Brooklyn Park, MN,3.744047619,45.1112,-93.3505
 Brookville, NY,3.790842491,39.8393,-84.4176
 Brownsville, TX,4.043589744,35.5888,-89.258
 Brownwood, TX,3.854166667,31.7124,-98.9766
 Brunswick, GA,3.702912621,41.2464,-81.8198
 Brunswick, ME,3.797379913,41.2464,-81.8198
 Bryan, TX,3.549604222,41.4711,-84.5489
 Buckhannon, WV,3.566666667,38.9927,-80.2279
 Buena Vista, VA,3.802857143,37.7319,-79.3569
 Buffalo, NY,3.720108532,45.1794,-93.8644
 Bullhead City, AZ,4.394736842,35.1205,-114.546
 Burbank, CA,3.756779661,41.7444,-87.7686
 Burleson, TX,3.666666667,32.5173,-97.3346
 Burlington, ON,4.3,40.8072,-91.1249
 Burlington, VT,3.669480519,40.8072,-91.1249
 Burlington, WI,2.2,40.8072,-91.1249
 Burr Ridge, IL,5,41.7485,-87.9198
 Burton, OH,3.353333333,42.9974,-83.6175
 Butler, PA,3.887288136,40.8615,-79.8962
 Butte, MT,3.570769231,45.902,-112.6571
 Cadillac, MI,3.794117647,44.2495,-85.4139
 Calais, ME,4.833333333,50.9504,1.8333
 Caldwell, ID,3.871666667,39.7467,-81.5127
 Caldwell, NJ,3.903614458,39.7467,-81.5127
 Calexico, CA,3.940540541,32.6849,-115.4944
 Calgary, AB,3.557182104,51.083,-114.08
 California, PA,3.599208443,40.0692,-79.9152
 Calumet City, IL,4.5,41.6133,-87.5502
 Camarillo, CA,3.722535211,34.223,-119.0323
 Camberwell, London,2.5,51.4736,-0.0916
 Cambridge, CAMBRIDGESHIRE,4.240697674,45.5612,-93.2282
 Cambridge, MA,3.827787934,45.5612,-93.2282
 Cambridge, MN,3.335714286,45.5612,-93.2282
 Cambridge, ON,3.775,45.5612,-93.2282
 Camden, AR,3.783333333,34.2564,-80.6085
