local,state,average_score,lat,lon,fips
 Centerville, IA,4.35,40.9284,-111.8848,19007
 Centerville, OH,3.9,40.9284,-111.8848,39113
 Central, SC,3.99,34.7234,-82.7789,45077
 Centralia, IL,4.203125,38.5223,-89.1233,17121
 Centralia, WA,4.049122807,38.5223,-89.1233,53041
 Centreville, MI,3.75,38.5798,-90.1039,26149
 Cerritos, CA,3.514285714,33.8677,-118.0686,6037
 Chadron, NE,3.621153846,42.826,-103.0024,31045
 Chambersburg, PA,3.761403509,39.9315,-77.6556,42055
 Champaign, IL,3.822568093,40.1144,-88.2735,17019
 Chandler, AZ,3.79379845,33.2827,-111.8516,4013
 Chanute, KS,3.66875,37.6697,-95.4619,20133
 Chapel Hill, NC,3.843582704,35.9269,-79.039,37135
 Charles Town, WV,3.672489083,39.2746,-77.8632,54037
 Charleston, IL,3.676081425,32.8137,-79.9643,17029
 Charleston, SC,3.755480444,32.8137,-79.9643,45019
 Charleston, WV,3.662,32.8137,-79.9643,54039
 Charlotte, NC,3.694528094,42.5662,-84.8304,37119
 Charlottesville, VA,3.81373365,38.0375,-78.4855,51540
 Chattanooga, TN,3.792566372,35.0657,-85.2488,47065
 Cheney, WA,3.604801325,47.4902,-117.5789,53063
 Cheraw, SC,4.02,34.6962,-79.9029,45025
 Chesapeake, VA,3.854347826,36.6778,-76.3024,51550
 Chester, PA,3.55310559,34.705,-81.2132,42045
 Chester, VA,3.8,34.705,-81.2132,51041
 Chesterfield, MO,3.964285714,38.6588,-90.5805,29189
 Chestertown, MD,3.89929078,39.2195,-76.071,24029
 Cheyenne, WY,3.774509804,41.1406,-104.7926,56021
 Chicago, IL,3.755294118,41.8373,-87.6861,17031
 Chicago Heights, IL,3.828455285,41.5101,-87.6347,17031
 Chickasha, OK,4.119354839,35.041,-97.9472,40051
 Chico, CA,3.70047619,39.7574,-121.815,6007
 Chicopee, MA,3.7984375,42.1764,-72.5719,25013
 Chillicothe, OH,3.933333333,39.7953,-93.5498,39141
 Chula Vista, CA,3.932229796,32.6281,-117.0145,6073
 Cicero, IL,3.830188679,41.8445,-87.7593,17031
 Cincinnati, OH,3.693106704,39.1412,-84.5059,39061
 Circleville, OH,3.712,39.6062,-82.9334,39129
 Claremont, CA,3.886724566,34.1259,-117.7153,6037
 Claremont, NH,4.875,34.1259,-117.7153,33019
 Claremore, OK,3.744512195,36.3144,-95.61,40131
 Clarion, PA,3.600611621,41.2106,-79.3803,42031
 Clarksdale, MS,3.575,34.1971,-90.5729,28027
 Clarkston, GA,3.8125,33.8117,-84.2405,13089
 Clarksville, AR,4.035,38.3223,-85.7673,5071
 Clarksville, TN,3.861294964,38.3223,-85.7673,47125
 Clawson, MI,4.5,42.5367,-83.1504,26125
