local_name,state_name,average_score,lat,lon
 Charleston, IL,3.57,32.8137,-79.9643
 Charleston, SC,3.583333333,32.8137,-79.9643
 Charlotte, NC,3.615217391,42.5662,-84.8304
 Charlottesville, VA,3.764285714,38.0375,-78.4855
 Charlottetown, PE,3.4,46.2493,-63.1313
 Chattanooga, TN,3.935,35.0657,-85.2488
 Cheney, WA,3.233333333,47.4902,-117.5789
 Chesapeake, VA,4.291666667,36.6778,-76.3024
 Chester, PA,3.62,34.705,-81.2132
 Chester, VA,3.74,34.705,-81.2132
 Chestertown, MD,4,39.2195,-76.071
 Cheyenne, WY,4.8,41.1406,-104.7926
 Chicago, IL,3.798742138,41.8373,-87.6861
 Chico, CA,4.12,39.7574,-121.815
 Chillicothe, OH,4.55,39.7953,-93.5498
 Chula Vista, CA,4.1,32.6281,-117.0145
 Cicero, IL,3.4,41.8445,-87.7593
 Cincinnati, OH,3.992307692,39.1412,-84.5059
 Claremont, CA,3.888888889,34.1259,-117.7153
 Clarion, PA,2.75,41.2106,-79.3803
 Clarksville, TN,3.752380952,38.3223,-85.7673
 Clemson, SC,3.565384615,34.6838,-82.8124
 Clermont, FL,2.3,28.5403,-81.7296
 Cleveland, GA,5,33.744,-90.7285
 Cleveland, MS,4.7,33.744,-90.7285
 Cleveland, OH,3.651351351,33.744,-90.7285
 Cleveland, TN,4.5,33.744,-90.7285
 Clinton, IA,4.266666667,34.4774,-81.864
 Clinton, NY,3.94,34.4774,-81.864
 Cocoa, FL,3.65,28.3821,-80.7675
 College Park, MD,3.090909091,38.9962,-76.9337
 College Place, WA,4.3,46.0431,-118.3869
 College Station, TX,4.3,30.5852,-96.296
 Collegeville, MN,4.1,40.1873,-75.4581
 Collegeville, PA,3.766666667,40.1873,-75.4581
 Colorado Springs, CO,3.886666667,38.8674,-104.7606
 Columbia, MD,3.6,37.1036,-85.3074
 Columbia, MO,3.46,37.1036,-85.3074
 Columbia, SC,3.830357143,37.1036,-85.3074
 Columbia, TN,3.34,37.1036,-85.3074
 Columbus, GA,3.823076923,33.5088,-88.4097
 Columbus, IN,3.316666667,33.5088,-88.4097
 Columbus, MS,4.3,33.5088,-88.4097
 Columbus, NE,1.5,33.5088,-88.4097
 Columbus, OH,3.996,33.5088,-88.4097
 Commerce, TX,5,34.2129,-83.4729
 Conway, AR,4.025,33.8404,-79.0419
 Conway, SC,4.438461538,33.8404,-79.0419
 Cookeville, TN,3.37,36.1484,-85.5114
 Coon Rapids, MN,4.4,45.1755,-93.3094
 Coral Gables, FL,3.87,25.7037,-80.2715
 Corinth, TX,4.04,34.9474,-88.5143
 Corpus Christi, TX,4.035294118,27.7173,-97.3822
 Corsicana, TX,5,32.0821,-96.468
 Cortland, NY,3.328571429,41.3319,-80.7192
 Corvallis, OR,3.613513514,44.5697,-123.278
 Costa Mesa, CA,3.980952381,33.6667,-117.9135
 Cottleville, MO,4.8,38.7511,-90.6587
 Council Bluffs, IA,3.65,41.2369,-95.8517
 Covington, KY,3.4,39.0334,-84.5166
 Crawfordsville, IN,3,40.0433,-86.8961
 Creston, IA,5,41.0597,-94.365
 Crookston, MN,3.5,47.7747,-96.6062
 Crossville, TN,2.1,35.9526,-85.0294
 Crystal Lake, IL,3.142857143,42.2334,-88.3352
